Customer Id,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,clustering_coefficient,community_id,is_fraud
1,4.81486831335163e-05,0.0,0.2133656706440549,0.0008228308526693,0.1315212431986221,5,0
2,0.0003370407819346,4.548685132445616e-07,0.2965718175998892,0.0066062272549401,0.5116740856336667,26,0
3,0.0004333381482016,7.830763168575537e-07,0.2976873738565674,0.0077464631728421,0.534450013215582,9,0
4,0.000288892098801,2.3910767348075e-07,0.2914593117330991,0.003933963174521,0.2836439243966481,1,0
5,0.0002407434156675,2.113170972105609e-07,0.2927208417673574,0.0040237194285257,0.3248701628505094,26,0
6,0.0003851894650681,6.005752291931059e-07,0.2974493191793531,0.0076178249402068,0.5739431663590029,26,0
7,0.0003370407819346,8.813088534799203e-07,0.2959818362646463,0.0057546888855312,0.4192475452759738,8,0
8,0.0003370407819346,4.219857861467845e-07,0.2960760754865725,0.0057378297873353,0.4174461809296372,3,0
9,0.0005296355144686,6.399524911092423e-06,0.2976873738565674,0.0077213568468234,0.4474603701478363,8,0
10,0.0002407434156675,4.920381396287991e-07,0.2914364754632775,0.0038978925526285,0.3110918386454141,3,0
11,0.0003851894650681,1.1218157597235198e-06,0.2971404167069668,0.0068881929716204,0.494425752908213,1,0
12,0.0004814868313351,9.11120857079714e-07,0.2979258098788795,0.0085125852210188,0.561742192087552,23,0
13,0.0004333381482016,1.0870875264954107e-06,0.2970217788339703,0.0068449891611121,0.4461483521221548,9,0
14,0.0004333381482016,8.15747043443766e-07,0.2977112002831608,0.0077526661635631,0.5350217359623872,3,0
15,0.0001444460494005,8.157783296857868e-08,0.2903218651528107,0.0031596729832566,0.309636078747977,3,0
16,0.0003851894650681,6.078740170329599e-07,0.2975206955957296,0.0075182572364051,0.5608112912381278,26,1
17,0.0004333381482016,6.495141219243249e-07,0.2966900962222071,0.0065486141963178,0.4149911863873797,9,0
18,0.0003370407819346,4.457602269768865e-07,0.2966191177302879,0.0064846246962361,0.495104544287766,7,0
19,0.0005296355144686,1.0810770129738382e-06,0.2979496744903725,0.0085391018522542,0.5178411921092867,3,0
20,0.000192594732534,1.2382435283610878e-07,0.2909349813326407,0.0037153708506586,0.326406365056752,1,0
21,0.0004333381482016,9.098928258691744e-07,0.2967137632688107,0.0061335254010099,0.3841584796644003,7,0
22,0.0005296355144686,2.316671205915908e-06,0.2967847870691623,0.0066106224431965,0.35826351155526,3,0
23,0.0005296355144686,1.0392294901836685e-06,0.2979496744903725,0.0085456760876382,0.5184385010306681,5,1
24,0.0003370407819346,4.377883334127128e-07,0.2963827678356821,0.0059257991385021,0.4397154342782914,5,1
25,0.000192594732534,1.2786841752298204e-07,0.2911171430177515,0.0038337310249938,0.3399211041374336,5,0
26,0.0003370407819346,4.541095460842885e-07,0.2967611086913843,0.0064015950774498,0.4839871742682738,23,0
27,0.000288892098801,3.388934399753513e-07,0.294925764061038,0.0050131501982253,0.3888219040769065,5,1
28,0.0002407434156675,2.1461006284493186e-07,0.2943190169597888,0.0048911682884426,0.4190018840599693,5,0
29,0.000192594732534,1.3672706737281365e-07,0.2921001834724211,0.0038694999838505,0.3447399185319198,23,0
30,0.0003370407819346,1.1239893786856462e-06,0.2956524708956212,0.0050006949709593,0.3488301723940548,9,0
31,0.0003851894650681,5.562832590605235e-07,0.2969032356591484,0.0066865039678363,0.4714196989816665,3,1
32,0.0004814868313351,1.8665839562903829e-06,0.2972116449331051,0.0074932338634326,0.4622291027423866,8,0
33,0.000192594732534,1.403038889688496e-07,0.2918022857407869,0.003817017048631,0.3390761375693418,1,0
34,0.0004814868313351,1.8891135946079664e-06,0.2973779770017438,0.0075133671793374,0.4643562410164389,5,0
35,0.0004333381482016,7.463710365297038e-07,0.2976873738565674,0.0075111747421968,0.5072351193726762,5,0
36,0.000192594732534,1.2794213608145345e-07,0.2885203022291197,0.0035890076790707,0.3111232903752183,9,0
37,0.000288892098801,3.341378028223307e-07,0.2961939589375546,0.0058330753564291,0.4784536566816034,7,0
38,0.0003851894650681,6.304851035244962e-07,0.2975682989070248,0.007657345114844,0.5792403421517481,3,0
39,0.0005777841976021,2.8415212308574006e-06,0.2979974151848911,0.0085758078623689,0.4813145978561016,3,0
40,0.0004814868313351,2.917818532712873e-06,0.2968558448793145,0.0064759412090044,0.3749158797845148,8,0
41,0.0003370407819346,4.1229154588715e-07,0.2954645910189697,0.005671910703842,0.4099163060470122,8,0
42,0.0005296355144686,1.8269492288949823e-06,0.2979496744903725,0.0084958077560035,0.5138634312085143,5,0
43,0.000288892098801,3.242130019708045e-07,0.2951129590874175,0.0050342664264435,0.3901143691838009,23,0
44,0.0003851894650681,7.082372979869673e-07,0.2973542038802311,0.0067521068995026,0.4780855752426722,1,0
45,0.0003851894650681,5.936423980823343e-07,0.2969980626267814,0.0068363068269048,0.4890947719826263,8,0
46,0.0005296355144686,1.0904815122981457e-06,0.2977588645803563,0.0075786688167207,0.433598967014097,23,0
47,0.0001444460494005,6.965884077736465e-08,0.285969380820928,0.0029017865271747,0.2760822644315965,5,0
48,0.0003370407819346,4.761892180298178e-07,0.2970929501867261,0.0068571201108726,0.5448159779271436,3,0
49,0.0002407434156675,1.9617029889037497e-07,0.2928591241900489,0.0045473510857457,0.3737703819252636,23,1
50,0.0003851894650681,5.300263250426897e-07,0.2965954657792689,0.0065004798843559,0.4497816032263479,5,0
51,0.0004814868313351,9.372572262524352e-07,0.2977350305241183,0.0077824476976233,0.4917725679277573,26,0
52,0.000288892098801,9.931507420394168e-07,0.2937147612395618,0.0046330309012383,0.3456602295933992,7,0
53,0.0003370407819346,4.649471011679822e-07,0.2967847870691623,0.0066683532782753,0.519007191784414,1,0
