customer_id,degree_centrality,betweenness_centrality,closeness_centrality,community_id,degree,is_fraud,eigenvector_centrality,clustering_coefficient
20755,4.81486831335163e-05,0.0,0.0086065939925435,0,1,0,0.0,1.0
19492,4.81486831335163e-05,0.0,0.0086065939925435,0,1,0,0.0,1.0
19491,4.81486831335163e-05,0.0,0.0086065939925435,0,1,0,0.0,1.0
19490,4.81486831335163e-05,0.0,0.0086065939925435,0,1,0,0.0,1.0
19489,4.81486831335163e-05,0.0,0.0086065939925435,0,1,0,0.0,1.0
19488,4.81486831335163e-05,0.0,0.0086065939925435,0,1,0,0.0,1.0
19487,4.81486831335163e-05,0.0,0.0086065939925435,0,1,0,0.0,1.0
19486,4.81486831335163e-05,0.0,0.0086065939925435,0,1,0,0.0,1.0
19485,4.81486831335163e-05,0.0,0.0086065939925435,0,1,0,0.0,1.0
19484,4.81486831335163e-05,0.0,0.0086065939925435,0,1,0,0.0,1.0
19483,4.81486831335163e-05,0.0,0.0086065939925435,0,1,1,0.0,1.0
19482,4.81486831335163e-05,0.0,0.0086065939925435,0,1,0,0.0,1.0
19481,4.81486831335163e-05,0.0,0.0086065939925435,0,1,0,0.0,1.0
19480,4.81486831335163e-05,0.0,0.0086065939925435,0,1,0,0.0,1.0
19479,4.81486831335163e-05,0.0,0.0086065939925435,0,1,0,0.0,1.0
19478,4.81486831335163e-05,0.0,0.0086065939925435,0,1,0,0.0,1.0
19477,4.81486831335163e-05,0.0,0.0086065939925435,0,1,0,0.0,1.0
19476,4.81486831335163e-05,0.0,0.0086065939925435,0,1,0,0.0,1.0
19475,4.81486831335163e-05,0.0,0.0086065939925435,0,1,0,0.0,1.0
19474,4.81486831335163e-05,0.0,0.0086065939925435,0,1,0,0.0,1.0
19473,4.81486831335163e-05,0.0,0.0086065939925435,0,1,0,0.0,1.0
19472,4.81486831335163e-05,0.0,0.0086065939925435,0,1,0,0.0,1.0
19471,4.81486831335163e-05,0.0,0.0086065939925435,0,1,0,0.0,1.0
19470,4.81486831335163e-05,0.0,0.0086065939925435,0,1,0,0.0,1.0
19469,4.81486831335163e-05,0.0,0.0086065939925435,0,1,1,0.0,1.0
19468,4.81486831335163e-05,0.0,0.0086065939925435,0,1,0,0.0,1.0
19467,4.81486831335163e-05,0.0,0.0086065939925435,0,1,0,0.0,1.0
19466,4.81486831335163e-05,0.0,0.0086065939925435,0,1,0,0.0,1.0
19465,4.81486831335163e-05,0.0,0.0086065939925435,0,1,0,0.0,1.0
19464,4.81486831335163e-05,0.0,0.0086065939925435,0,1,0,0.0,1.0
19463,4.81486831335163e-05,0.0,0.0086065939925435,0,1,0,0.0,1.0
19462,4.81486831335163e-05,0.0,0.0086065939925435,0,1,0,0.0,1.0
19461,4.81486831335163e-05,0.0,0.0086065939925435,0,1,0,0.0,1.0
19460,4.81486831335163e-05,0.0,0.0086065939925435,0,1,0,0.0,1.0
19459,4.81486831335163e-05,0.0,0.0086065939925435,0,1,0,0.0,1.0
19458,4.81486831335163e-05,0.0,0.0086065939925435,0,1,0,0.0,1.0
19457,4.81486831335163e-05,0.0,0.0086065939925435,0,1,0,0.0,1.0
19456,4.81486831335163e-05,0.0,0.0086065939925435,0,1,0,0.0,1.0
19455,4.81486831335163e-05,0.0,0.0086065939925435,0,1,0,0.0,1.0
19454,4.81486831335163e-05,0.0,0.0086065939925435,0,1,0,0.0,1.0
19453,4.81486831335163e-05,0.0,0.0086065939925435,0,1,0,0.0,1.0
19452,4.81486831335163e-05,0.0,0.0086065939925435,0,1,0,0.0,1.0
19451,4.81486831335163e-05,0.0,0.0086065939925435,0,1,0,0.0,1.0
19450,4.81486831335163e-05,0.0,0.0086065939925435,0,1,0,0.0,1.0
19449,4.81486831335163e-05,0.0,0.0086065939925435,0,1,0,0.0,1.0
19448,4.81486831335163e-05,0.0,0.0086065939925435,0,1,0,0.0,1.0
19447,4.81486831335163e-05,0.0,0.0086065939925435,0,1,0,0.0,1.0
19446,4.81486831335163e-05,0.0,0.0086065939925435,0,1,0,0.0,1.0
9083,0.0004814868313351,9.26816692704749e-07,0.2979258098788795,1,10,0,0.008509038323509134,0.5614316615824959
4741,0.0003370407819346,4.332775150342941e-07,0.2955115385983801,9,7,0,0.005655056449916577,0.4083230158462393
639,0.0004814868313351,9.172379470243724e-07,0.2979258098788795,3,10,1,0.008511540802724047,0.5617101584048421
9702,0.0004814868313351,1.2960032065264974e-06,0.2979258098788795,11,10,0,0.008488114467675932,0.55928382671255
9114,0.0003851894650681,6.303590065037915e-07,0.2975682989070248,1,8,1,0.007657345114844068,0.5792403421517481
1362,0.0003851894650681,6.005752291931059e-07,0.2974493191793531,5,8,0,0.0076178249402068,0.573943166359003
8011,0.0002407434156675,2.32855235082584e-07,0.2943656011663351,3,5,0,0.004726056285589645,0.3962396943690444
3296,0.0006740815638692,2.814412619800065e-06,0.2977112002831608,26,14,0,0.007660790150006379,0.3571090543976218
3182,0.0004333381482016,7.553957616300521e-07,0.2976159174538175,3,9,1,0.007687942873581895,0.528064409057756
7864,0.0006259328807357,2.903640404094621e-06,0.2971878983970766,11,13,0,0.0068158241442934165,0.3268241320849468
11169,0.0004814868313351,1.8824139427968807e-06,0.2973779770017438,7,10,0,0.006961752183159473,0.4200450794992305
5197,0.0004333381482016,7.009935290585057e-07,0.2973304345593773,26,9,1,0.007486328677347594,0.5044931539168779
1535,0.0005296355144686,1.417289713260303e-06,0.2979496744903725,11,11,0,0.008520592686132382,0.5161283705990896
6122,0.0004814868313351,7.627052585895825e-07,0.2967611086913843,5,10,0,0.00679876702618857,0.40532017286764865
9451,0.0004814868313351,1.6735488989793832e-06,0.2979974151848911,1,10,0,0.008514554498303191,0.5618099331825437
542,0.0006259328807357,1.992460772523219e-06,0.2979974151848911,3,13,0,0.008564318938172331,0.4462972130881787
11329,0.0004814868313351,1.3882729871105516e-06,0.2974968996511086,8,10,0,0.0076797388700746375,0.4815603028125244
3570,0.0003851894650681,8.735267075945421e-07,0.2965954657792689,26,8,1,0.006544323700570726,0.45454359120358606
650,0.0003370407819346,4.2969626801396805e-07,0.2960525100555405,7,7,0,0.005877722394780401,0.43489128008654643
9353,0.0005777841976021,2.1673943425160085e-06,0.2979974151848911,26,12,1,0.008525623524385845,0.477138525454942
54,0.0003851894650681,9.398773289648018e-07,0.2973304345593773,1,8,1,0.006904333573837567,0.49675531861650324
12151,0.000288892098801,3.6467142246888273e-07,0.2965008956825676,9,6,1,0.005981806322983825,0.498600986191862
10018,0.0004814868313351,9.03314943447742e-07,0.2979258098788795,1,10,0,0.008515179917748915,0.5620043726477912
4936,0.0005777841976021,1.2358652151478295e-06,0.2977350305241183,23,12,0,0.0077865060403792844,0.41959289230714253
8707,0.0004814868313351,1.385053007534895e-06,0.2977112002831608,11,10,1,0.0075442136440459625,0.46723633511302554
1025,0.0003370407819346,4.93354046825195e-07,0.2973066690382712,7,7,0,0.006721607556866944,0.5261080735651139
8831,0.000288892098801,3.191970806443177e-07,0.2950427331115896,1,6,0,0.004937305362459404,0.37890051692126003
10679,0.0003370407819346,4.571387041536093e-07,0.2965008956825676,7,7,0,0.005889320058305463,0.4350961529605977
5007,0.0004814868313351,8.664569523732551e-07,0.2976397324428111,1,10,0,0.00772154978710511,0.4857667635112832
9854,0.0003370407819346,7.134183673480458e-07,0.2907530474742289,5,7,0,0.0038637881337091782,0.2517952848230027
376,0.0005296355144686,1.948685632616804e-06,0.2977588645803563,23,11,1,0.0077895276361097275,0.4533493129883318
5417,0.0003851894650681,6.006953682667591e-07,0.2974493191793531,23,8,1,0.0076178249402068,0.5739431663590029
10759,0.0005296355144686,1.2939292023778936e-06,0.2979974151848911,11,11,1,0.008545792852229287,0.5183442996708068
8541,0.0003851894650681,6.005752291931059e-07,0.2974493191793531,3,8,0,0.0076178249402068,0.5739431663590029
3752,0.0004333381482016,7.637113248206895e-07,0.2976873738565674,3,9,0,0.0077508359733898845,0.5349150033437927
4673,0.0003851894650681,6.005752291931059e-07,0.2974493191793531,8,8,0,0.0076178249402068,0.5739431663590029
5367,0.0005296355144686,1.1736867997822874e-06,0.2979735429254034,1,11,1,0.008546226440258957,0.5183482637752482
10485,0.000192594732534,1.3723296992688784e-07,0.2911627190871085,9,4,0,0.0038499711543286946,0.3422751272206476
9272,0.0003851894650681,9.72602144879852e-07,0.2954411228227014,5,8,0,0.005672949929586164,0.3732528821154953
647,0.0005296355144686,2.007746174759479e-06,0.2975444953473971,3,11,0,0.00771168421091775,0.44628322377897256
